,Deslocamento Vertical,Deslocamento Horizontal,Deslocamento Antero-Posterior,Deslocamento Tridimensional,velocidade média do salto,velocidade pico do salto,aceleração,força pico vertical normalizada,força pico horizontal normalizada,força pico antero-posterior normalizada,força pico tridimensional normalizada,impulso vertical normalizado,impulso horizontal normalizado,impulso antero-posterior normalizado,impulso tridimensional normalizado
4,0.42883626893499016,1.3832785890755739,0.18883454144244366,1.460485770074728,2.9064393434322944,3.627344185488069,4.063352502252206,1.78040197419184,0.5113204201354117,0.09880180900260563,1.8368255207750046,2.536964893756241,0.5731194487257341,0.028266598717151873,2.620451533477376
5,0.37444668917487633,1.1277933794165111,0.15269732461488722,1.198100455986177,2.8025741660495367,3.495281601549453,4.278352367226477,1.814688176058534,0.4540792175891436,0.06714566390783178,1.8469692952386103,2.661283865356029,0.5719681393878588,0.008502670542651091,2.7327332512515
média,0.37144846804483644,1.2050340542008968,0.14333564278670327,1.269539131267883,3.01365712959623,3.6621743200570585,4.68055212652253,1.883096848452185,0.5230411495804714,0.08810173416170405,1.927256229637905,2.6013024472140267,0.6100402192728402,0.03780279703586329,2.685943105677697
desvio-padrão,0.03228292314181705,0.094252136016857,0.029035851060076327,0.09831210396729295,0.1397486234399291,0.11073566975599691,0.561175878202121,0.09457408082399428,0.0489181079433664,0.024149970556962354,0.09888491235565035,0.0861370769160698,0.04456547523338577,0.02326508579793117,0.088928337130847
rnd1,0.4100111569750332,1.2819244325583177,0.26599128927216675,1.3719295774939178,3.451395163506711,3.8768465824767984,3.9960371118793465,2.3250078665033347,0.5143787739945509,0.1708473569102323,2.366889026418145,2.92800731353531,0.4855324145393889,0.2592938645094752,2.9955840727971252
2,0.34451672406853306,1.162317302020727,0.2903202308591635,1.2465789666867373,3.536394231735425,3.9949692888662436,4.911649235172136,2.3818869655210237,0.5542923317767243,0.06524604995863406,2.426060076432112,2.685559315034797,0.5443422640383386,0.28278517511983486,2.7684200456234915
3,0.34279155279793316,1.1366777123525433,0.29737122537444977,1.2239166295582928,3.353196245365186,3.9401207548055748,5.758478759002251,2.2006598935819377,0.6446399508899335,0.21513551677771361,2.252442862586928,3.041932623498027,0.7573009838586195,0.14883116105689098,3.1525759881759017
4,0.488532555423536,1.1301705760245917,0.36282329634868093,1.2835849535553658,3.1117210995281592,3.808137092363549,5.234397555883091,2.2822580305432543,0.4300958827726458,0.11159129874303939,2.2871952937917075,3.27971926523363,0.4169875856710917,0.03888530661620299,3.323998737713212
5,0.3323978886419223,1.1398088501590986,0.2730372601289499,1.2182782591400612,3.4317697440565107,3.948349418597067,5.490569556594916,2.3936723634493293,0.5863346678596636,0.30552793347709106,2.441772582557056,2.817135334223856,0.6394594457856094,0.16922662244291659,2.9109676279462082
média,0.3836499755813915,1.1701797746230558,0.2979086603966822,1.268857677286875,3.3768952968383985,3.913684627421847,5.078226443706348,2.316697023919776,0.5459483214587035,0.17366963117334208,2.3548719683571897,2.9504707703051243,0.5687245387786096,0.17980442594906415,3.030309294451188
desvio-padrão,0.05919943570809383,0.05691081488461589,0.03437757464047556,0.05641812746909749,0.14483117432668655,0.06481517797037437,0.6092686087127439,0.07056154954072562,0.07191542404824565,0.0833347335846794,0.07461330598918516,0.2025985520879359,0.11925102138229257,0.0870092372119962,0.19247695265281772
